sensor_B,corr_cycle_B,variance_B,pca_weight_B,redundancy_score_B
sensor_9,0.03324148765580452,140368.20755300208,0.23663449401113834,17
sensor_17,0.029852167025678854,962.3291265755178,0.23653459926934284,17
sensor_3,0.029765750432429607,13965.392207528455,0.23651058656561816,17
sensor_4,0.03637980442402632,18577.709837299517,0.23597041450841894,15
sensor_2,0.012650964681111754,1804.4243613694546,0.23334893413505675,14
sensor_11,0.04336154374069882,11.73982075284451,0.23145683278008736,10
sensor_10,0.017375034291527054,0.020193247427607777,0.23091724932028176,15
sensor_12,0.013595141057557469,26959.499017990613,0.22776104509964573,14
sensor_7,0.013459002304085147,30322.592496512378,0.22769326617788468,14
sensor_20,0.010539507462750728,136.68934587341695,0.22610678724367705,14
sensor_21,0.01059259224089852,49.211164434401155,0.22610265142715993,14
sensor_6,0.009416618768753163,41.524135588519144,0.22159244692398403,14
sensor_15,0.017034362268283674,0.5648740399829638,0.2186937857339735,8
sensor_1,0.009526483408365077,925.4000150786277,0.2179619740224413,13
sensor_8,0.00593328148645329,20285.34017576754,0.21717985663364076,8
sensor_18,0.005333854052516631,20309.987769995856,0.21712016469917053,8
sensor_5,0.010034409443219493,18.194955032957154,0.21601219939148894,13
sensor_16,0.04303413506902831,2.4965795378913166e-05,0.21285185438646906,8
sensor_14,0.09846189811244462,6500.109570798821,0.1919675452937581,6
sensor_19,0.0006874677743922633,21.68084945285744,0.14415074330801678,3
sensor_13,0.001480693890190777,12358.155761481854,0.14415066272882635,3
